#yymmdd    hhmmss   name          ra        dec       fwhm a/b  theta  sky   nstar ccdtemp tempam  encra     
2014-02-01 17:36:38 20140201_0001.fits(obstype=survey 53.438898 88.484938 4.73 1.05 -4.98 230.557 507 251.333 -26.800 -18.849036
2014-02-01 17:36:45 20140201_0002.fits(obstype=survey 53.438898 88.484938 5.32 1.05 5.03 209.403 464 251.333 -26.800 -18.849036
2014-02-01 17:36:51 20140201_0003.fits(obstype=survey 53.438898 88.484938 5.30 1.05 5.15 195.7 453 251.333 -26.800 -18.849036
2014-02-01 17:41:30 20140201_0004.fits(obstype=survey 106.345518 88.466256 6.73 1.02 45.40 162.497 376 247.704 -27.000 -70.839951
2014-02-01 17:41:36 20140201_0005.fits(obstype=survey 106.345518 88.466256 5.92 1.02 5.01 151.692 428 247.704 -27.000 -70.839951
2014-02-01 17:41:43 20140201_0006.fits(obstype=survey 106.345518 88.466256 6.53 1.02 -84.77 140.571 401 247.704 -27.000 -70.839951
2014-02-01 17:46:21 20140201_0007.fits(obstype=survey 158.096593 88.451402 7.20 1.05 -44.95 120.549 318 245.655 -27.300 -119.637222
2014-02-01 17:46:28 20140201_0008.fits(obstype=survey 158.096593 88.451402 6.50 1.02 -4.98 114.962 340 245.655 -27.300 -119.637222
2014-02-01 17:46:35 20140201_0009.fits(obstype=survey 158.096593 88.451402 6.33 1.02 -44.95 107.697 363 245.655 -27.300 -119.637222
2014-02-01 17:51:08 20140201_0010.fits(obstype=survey 208.613990 88.451801 4.69 1.05 -14.88 114.634 520 243.760 -27.600 -166.592584
2014-02-01 17:51:14 20140201_0011.fits(obstype=survey 208.613990 88.451801 5.40 1.05 -14.73 109.986 467 243.760 -27.600 -166.592584
2014-02-01 17:51:22 20140201_0012.fits(obstype=survey 208.613990 88.451801 5.16 1.05 -24.78 106.972 494 243.760 -27.600 -166.592584
2014-02-01 17:55:12 20140201_0013.fits(obstype=survey 198.888275 85.616739 5.00 1.08 -14.69 108.48 480 243.102 -27.800 -156.854136
2014-02-01 17:55:18 20140201_0014.fits(obstype=survey 198.888275 85.616739 5.10 1.02 -24.80 103.293 470 243.102 -27.800 -156.854136
2014-02-01 17:55:25 20140201_0015.fits(obstype=survey 198.888275 85.616739 5.01 1.05 -24.59 102.266 476 243.102 -27.800 -156.854136
2014-02-01 17:59:26 20140201_0016.fits(obstype=survey 181.052198 85.614672 5.07 1.05 -14.98 88.1765 471 242.773 -28.000 -138.263621
2014-02-01 17:59:33 20140201_0017.fits(obstype=survey 181.052198 85.614672 4.83 1.02 -4.97 87.1212 439 242.773 -28.000 -138.263621
2014-02-01 17:59:39 20140201_0018.fits(obstype=survey 181.052198 85.614672 4.97 1.02 -4.71 85.5638 395 242.773 -28.000 -138.263621
2014-02-01 18:03:40 20140201_0019.fits(obstype=survey 163.164034 85.615238 4.90 1.02 -4.88 68.134 174 242.541 -28.200 -119.624482
2014-02-01 18:03:46 20140201_0020.fits(obstype=survey 163.164034 85.615238 4.28 1.02 -4.98 69.424 105 242.541 -28.200 -119.624482
2014-02-01 18:03:53 20140201_0021.fits(obstype=survey 163.164034 85.615238 4.28 1.02 -4.84 70.978 150 242.541 -28.200 -119.624482
2014-02-01 18:07:57 20140201_0022.fits(obstype=survey 145.212759 85.618187 4.61 1.02 -5.00 63.8265 495 242.386 -28.200 -100.882818
2014-02-01 18:08:03 20140201_0023.fits(obstype=survey 145.212759 85.618187 4.73 1.05 -44.86 64.6233 586 242.386 -28.200 -100.882818
2014-02-01 18:08:10 20140201_0024.fits(obstype=survey 145.212759 85.618187 4.51 1.02 -64.99 68.5325 562 242.386 -28.200 -100.882818
2014-02-01 18:12:12 20140201_0025.fits(obstype=survey 127.190617 85.623336 4.39 1.02 5.02 68.2985 790 242.270 -28.400 -82.028546
2014-02-01 18:12:21 20140201_0026.fits(obstype=survey 127.190617 85.623336 4.45 1.02 5.17 67.7205 773 242.270 -28.400 -82.028546
2014-02-01 18:12:29 20140201_0027.fits(obstype=survey 127.190617 85.623336 4.57 1.02 25.04 68.3558 766 242.270 -28.400 -82.028546
2014-02-01 18:16:28 20140201_0028.fits(obstype=survey 109.101572 85.630068 4.87 1.02 -4.88 66.4962 723 241.921 -28.200 -63.030372
2014-02-01 18:16:35 20140201_0029.fits(obstype=survey 109.101572 85.630068 4.79 1.05 -4.78 64.6565 661 241.921 -28.200 -63.030372
2014-02-01 18:16:42 20140201_0030.fits(obstype=survey 109.101572 85.630068 4.95 1.02 5.05 65.35 549 241.921 -28.200 -63.030372
2014-02-01 18:20:43 20140201_0031.fits(obstype=survey 90.955649 85.637683 5.05 1.02 5.05 58.123 476 242.018 -28.300 -43.879764
2014-02-01 18:20:49 20140201_0032.fits(obstype=survey 90.955649 85.637683 4.83 1.02 5.04 57.6145 569 242.018 -28.300 -43.879764
2014-02-01 18:20:57 20140201_0033.fits(obstype=survey 90.955649 85.637683 4.37 1.05 -4.75 56.1512 658 242.018 -28.300 -43.879764
2014-02-01 18:24:58 20140201_0034.fits(obstype=survey 72.767620 85.645545 4.28 1.02 5.01 61.7188 614 241.495 -28.500 -24.587284
